=== Target Candidates V1 Summary ===
Total candidate genes: 17705

Top 30 targets:
gene_name  mutation_count  mutated_patients  mean_tumor_expression  mutation_score  expression_score  candidate_score_v1 initial_priority
     TP53             332               283              37.000246        0.986063          0.808020            0.914846             High
    MUC16             556               248               5.520833        0.864111          0.407343            0.681404           Medium
      TTN             896               287               0.553266        1.000000          0.183395            0.673358           Medium
     KRAS             163               149              36.715933        0.519164          0.806269            0.634006           Medium
     RYR2             474               235               1.070144        0.818815          0.231686            0.583964           Medium
    KEAP1             102                99              64.276818        0.344948          0.893985            0.564563           Medium
  COL11A1             172               120              28.708373        0.418118          0.756340            0.553407           Medium
    MXRA5             133                99              48.913519        0.344948          0.857103            0.549810           Medium
   COL6A3             103                79             132.585669        0.275261          0.953685            0.546631           Medium
   COL3A1              95                66            1119.524202        0.229965          0.996555            0.536601           Medium
     VCAN             124                89              55.682615        0.310105          0.875685            0.536337           Medium
    AHNAK              95                73             119.375487        0.254355          0.947472            0.531602           Medium
    MUC5B              99                66             129.314442        0.229965          0.952443            0.518956           Medium
    CSMD3             486               232               0.047590        0.808362          0.075289            0.515133           Medium
     CPS1              86                73              70.617125        0.254355          0.904829            0.514545           Medium
     EGFR             110                78              54.745974        0.271777          0.873595            0.512504           Medium
     PLEC              76                63             109.467956        0.219512          0.942050            0.508527           Medium
     MRC1              81                72              63.453608        0.250871          0.892403            0.507484           Medium
   COL5A2              70                62             101.947351        0.216028          0.937701            0.504697           Medium
     FLNA              56                45             363.110726        0.156794          0.985993            0.488474           Medium
    ZFHX4             317               190               0.926403        0.662021          0.220559            0.485436           Medium
   COL1A2              49                42             617.525695        0.146341          0.992375            0.484755           Medium
    LRP1B             392               207               0.146978        0.721254          0.115222            0.478841           Medium
   COL5A1              65                46             101.475406        0.160279          0.937362            0.471112           Medium
   COL4A1              57                45             101.251909        0.156794          0.937080            0.468909           Medium
  COL12A1              76                63              44.226141        0.219512          0.838916            0.467274           Medium
     LRP1              69                52              64.081206        0.181185          0.893533            0.466124           Medium
   AHNAK2             163                95              19.807894        0.331010          0.668286            0.465921           Medium
    HUWE1              67                53              60.012376        0.184669          0.885964            0.465187           Medium
    POSTN              40                37             170.507599        0.128920          0.967071            0.464180           Medium
