DIP-AI Target Feature Table v2 Summary
======================================
Output file: C:\Users\sexyl\OneDrive\Desktop\dip-ai-service\data\processed\target_features_v2.csv
Rows: 17705
Columns: 18

Top 30 genes by candidate_score_v2_features:
gene_name  mutation_count  mutated_patients  nonsynonymous_mutation_count  mean_tumor_expression  mutation_frequency_score  expression_score  protein_impact_score  candidate_score_v2_features
     TP53             332               283                           321              37.000246                  0.986063          0.934289              0.966867                     0.964772
    MUC16             556               248                           419               5.520833                  0.864111          0.792451              0.753597                     0.809459
     KRAS             163               149                           163              36.715933                  0.519164          0.933700              1.000000                     0.787776
      TTN             896               287                           624               0.553266                  1.000000          0.578744              0.696429                     0.782552
     RYR2             474               235                           358               1.070144                  0.818815          0.658404              0.755274                     0.751630
    KEAP1             102                99                           101              64.276818                  0.344948          0.963114              0.990196                     0.723972
  COL11A1             172               120                           155              28.708373                  0.418118          0.917125              0.901163                     0.712734
    ZFHX4             317               190                           263               0.926403                  0.662021          0.641527              0.829653                     0.706162
     EGFR             110                78                           104              54.745974                  0.271777          0.956131              0.945455                     0.679186
     VCAN             124                89                           107              55.682615                  0.310105          0.956838              0.862903                     0.669964
    LRP1B             392               207                           332               0.146978                  0.721254          0.413684              0.846939                     0.666689
    CSMD3             486               232                           411               0.047590                  0.808362          0.296818              0.845679                     0.666094
    MXRA5             133                99                           101              48.913519                  0.344948          0.950578              0.759398                     0.650972
 ADAMTS12             165               113                           130              10.573230                  0.393728          0.839046              0.787879                     0.645569
    STK11              71                68                            68              16.780507                  0.236934          0.874064              0.957746                     0.644317
  COL12A1              76                63                            69              44.226141                  0.219512          0.944503              0.907895                     0.643524
     NAV3             171               126                           150               1.335396                  0.439024          0.680936              0.877193                     0.643049
   COL5A2              70                62                            61             101.947351                  0.216028          0.978007              0.871429                     0.641242
     MRC1              81                72                            67              63.453608                  0.250871          0.962576              0.827160                     0.637269
   COL3A1              95                66                            77            1119.524202                  0.229965          0.998570              0.810526                     0.634715
    POSTN              40                37                            38             170.507599                  0.128920          0.988036              0.950000                     0.632979
    RBM10              45                36                            44              57.200281                  0.125436          0.957948              0.977778                     0.630892
  SMARCA4              57                47                            54              36.022774                  0.163763          0.932539              0.947368                     0.629477
    HMCN1             146               101                           118               7.633669                  0.351916          0.814495              0.808219                     0.627581
     ANK2             192               125                           149               2.203318                  0.435540          0.725882              0.776042                     0.624793
    SYNE2              97                70                            86              15.752802                  0.243902          0.869218              0.886598                     0.624306
    AHNAK              95                73                            72             119.375487                  0.254355          0.981372              0.757895                     0.623522
   COL1A1              19                17                            19            1147.936424                  0.059233          0.998620              1.000000                     0.623279
   CTNNB1              26                19                            26             164.299287                  0.066202          0.987632              1.000000                     0.622770
     CPS1              86                73                            66              70.617125                  0.254355          0.966800              0.767442                     0.622015
