gene_name,TCGA-35-5375-01A,TCGA-55-A4DF-01A,TCGA-95-8039-01A,TCGA-MP-A4T4-01A,TCGA-62-A471-01A,TCGA-L9-A5IP-01A,TCGA-50-5936-01A,TCGA-49-AARR-01A,TCGA-78-8662-01A,TCGA-05-4430-01A,TCGA-44-7659-01A,TCGA-44-6146-01A,TCGA-L9-A50W-01A,TCGA-75-7025-01A,TCGA-05-4424-01A,TCGA-62-A46P-01A,TCGA-38-4627-01A,TCGA-86-8073-01A,TCGA-69-7765-01A,TCGA-44-5645-01B,TCGA-55-6984-01A,TCGA-69-7764-01A,TCGA-NJ-A4YI-01A,TCGA-86-A4P7-01A,TCGA-55-8620-01A,TCGA-97-8177-01A,TCGA-50-6595-01A,TCGA-55-A492-01A,TCGA-78-7633-01A,TCGA-97-A4LX-01A,TCGA-78-7220-01A,TCGA-53-7624-01A,TCGA-49-AARN-01A,TCGA-62-A46R-01A,TCGA-78-7156-01A,TCGA-50-8457-01A,TCGA-91-8496-01A,TCGA-55-8092-01A,TCGA-75-5122-01A,TCGA-NJ-A4YQ-01A,TCGA-50-5072-01A,TCGA-91-6831-01A,TCGA-91-A4BD-01A,TCGA-69-8255-01A,TCGA-69-8253-01A,TCGA-86-A4D0-01A,TCGA-78-8640-01A,TCGA-97-8174-01A,TCGA-55-6987-01A,TCGA-49-6744-01A,TCGA-55-8096-01A,TCGA-J2-8192-01A,TCGA-44-7671-01A,TCGA-44-2662-01B,TCGA-93-A4JN-01A,TCGA-49-AAR9-01A,TCGA-86-A4P8-01A,TCGA-44-5645-01A,TCGA-78-7158-01A,TCGA-80-5611-01A,TCGA-44-4112-01A,TCGA-71-6725-01A,TCGA-44-2656-01A,TCGA-05-5715-01A,TCGA-64-5815-01A,TCGA-55-7816-01A,TCGA-95-7948-01A,TCGA-05-4432-01A,TCGA-99-8033-01A,TCGA-78-7143-01A,TCGA-73-4668-01A,TCGA-44-5644-01A,TCGA-38-4625-01A,TCGA-91-8499-01A,TCGA-86-6851-01A,TCGA-44-6779-01A,TCGA-78-7537-01A,TCGA-05-4434-01A,TCGA-67-3773-01A,TCGA-55-6983-01A,TCGA-05-5425-01A,TCGA-97-A4M2-01A,TCGA-50-5941-01A,TCGA-78-7539-01A,TCGA-67-3771-01A,TCGA-55-8299-01A,TCGA-05-5429-01A,TCGA-93-A4JO-01A,TCGA-44-A47A-01A,TCGA-44-2662-01A,TCGA-86-A4JF-01A,TCGA-05-4402-01A,TCGA-97-8179-01A,TCGA-55-7914-01A,TCGA-49-4490-01A,TCGA-55-8090-01A,TCGA-MP-A4TC-01A,TCGA-64-1681-01A,TCGA-99-AA5R-01A,TCGA-49-4486-01A,TCGA-91-6847-01A,TCGA-05-4249-01A,TCGA-91-A4BC-01A,TCGA-55-7570-01A,TCGA-50-5049-01A,TCGA-86-8672-01A,TCGA-55-7727-01A,TCGA-86-8674-01A,TCGA-53-A4EZ-01A,TCGA-69-7761-01A,TCGA-50-5942-01A,TCGA-69-A59K-01A,TCGA-05-4245-01A,TCGA-44-2666-01A,TCGA-50-5944-01A,TCGA-50-6592-01A,TCGA-62-8395-01A,TCGA-05-4410-01A,TCGA-55-6975-01A,TCGA-73-4662-01A
ABCA12,3.9585,0.3036,11.2888,3.7723,2.294,4.7101,1.9949,0.2816,4.5318,1.5589,0.8618,2.7605,1.0494,1.0844,20.1601,0.0392,1.6851,3.0684,0.8452,3.4699,1.2438,3.579,22.7132,1.7748,0.0722,1.1587,5.8053,0.5503,0.1898,2.7953,0.8175,0.7017,2.7884,3.1025,0.3329,0.1531,0.5356,1.8559,1.5049,2.6152,16.7356,0.1916,2.2269,0.0474,3.8574,0.2765,0.025,0.5016,1.767,3.3852,14.3278,9.6157,3.1603,32.5594,6.9245,0.0424,0.0677,1.8749,0.877,7.5997,5.7434,2.9258,11.1042,13.9575,13.7693,0.775,1.4605,0.145,2.0451,15.2031,3.6234,1.1124,0.0112,0.261,4.762,0.8289,0.0848,2.5517,0.8589,2.7093,16.1837,0.4119,5.9647,12.2148,0.144,3.9507,1.3518,3.0538,6.2741,20.7165,19.039,8.4393,0.2415,0.3069,4.4779,6.5074,4.2145,0.9106,0.8913,0.0536,0.5126,3.1154,0.1695,0.1494,0.1618,2.0011,7.5866,0.7711,9.2898,4.1499,0.5037,1.9274,0.1389,8.7904,2.8032,4.1297,0.4171,9.2814,11.5536,0.2896
ABCA13,2.4863,14.534,0.349,2.8488,0.8782,0.1518,3.3514,41.9288,0.0167,2.1748,4.6709,0.7526,4.7602,15.3656,1.7797,0.0937,1.7692,1.2698,0.1022,50.434,1.4433,1.4312,0.2903,1.796,0.1592,0.5305,1.7222,0.1309,0.0813,0.297,0.1852,0.0699,1.2712,21.1694,0.9349,0.6374,0.9329,0.017,0.2244,0.1186,0.9902,0.1779,2.0258,0.5921,0.2275,0.0907,0.1767,0.3837,2.323,0.5155,9.059,2.9073,3.5462,37.594,0.2948,0.0983,0.8568,20.0262,2.2354,0.3252,0.2291,1.2261,0.7821,0.8447,0.7806,0.4596,0.0831,0.2756,0.4674,3.3297,0.5946,0.1609,0.0187,0.04,0.0572,0.1801,0.018,2.0447,0.0289,2.0583,0.1557,2.6201,1.491,1.2154,19.3578,0.7497,0.8615,3.1424,0.1126,3.1223,0.4655,3.3154,0.269,8.676,2.0668,1.1144,0.171,6.5446,0.607,0.0739,0.2842,3.7073,0.0214,0.0645,0.2728,0.0107,0.5713,0.1608,0.0912,0.9351,21.6311,0.305,5.6882,2.1057,2.3632,0.1004,0.3197,2.4697,0.0518,0.1012
ABCB1,0.4683,2.1172,0.8918,2.8885,0.3192,1.0553,0.6095,2.5624,0.8439,1.2813,1.1311,0.603,0.8748,3.9447,3.2381,1.5973,3.9391,1.9744,1.5564,4.3546,0.3897,1.1808,0.7744,2.9486,12.2006,2.7435,1.9647,1.657,1.6981,3.3847,1.5814,0.8819,2.0785,1.5017,3.3751,3.4214,0.7033,1.8841,5.0656,1.4707,1.758,1.1019,0.8267,1.9336,0.6285,11.1375,0.4499,2.9905,2.8986,3.5691,1.0135,3.3703,1.7662,2.4336,1.6807,0.2538,3.0403,4.1067,0.678,0.874,0.9472,0.5976,3.7687,0.6776,0.9238,22.8059,0.5642,1.5692,2.257,1.2734,0.5084,0.6785,0.7403,0.8835,3.6548,5.3061,3.2659,2.0429,1.0458,1.8192,3.1878,3.6436,3.8248,1.6988,0.9487,3.473,0.669,1.6247,0.9894,0.6245,0.9668,0.7285,1.5885,0.8963,1.0201,0.5908,0.6853,1.2906,1.6501,0.198,0.4317,0.8376,3.0904,1.4803,1.8442,0.8718,0.8597,0.8757,0.3949,3.5814,3.505,1.298,3.9921,1.2855,1.585,1.5566,1.6393,2.2022,0.9801,1.7459
ABCB5,0.05,0.0,0.0151,0.0064,0.0153,0.0,0.0423,0.1539,0.0,0.0688,0.0245,0.0102,0.0124,0.0866,0.1728,0.0,0.1221,0.1565,0.0439,0.4754,0.0,0.0,0.0,0.1373,0.0844,0.0096,0.0368,0.0771,0.0148,0.0498,0.0095,0.036,0.0481,0.0,0.0,0.053,0.0488,0.0039,0.0,0.0072,0.0537,0.0419,0.0,0.0459,0.0206,0.0334,0.0087,0.0137,0.0216,0.0374,0.0339,0.0416,0.122,1.1989,0.0419,0.0088,0.1328,0.0547,0.0075,0.0532,0.0893,0.0,0.0239,0.0508,0.0251,0.0271,0.0,0.0129,0.0049,0.0172,0.0145,0.107,0.0193,0.0118,0.0074,0.0148,0.0,0.0115,0.0357,0.0724,0.052,0.0843,0.01,0.0,0.0299,0.0142,0.0,0.0,0.0,0.0,0.0067,0.0295,0.0462,0.0078,0.0126,0.0233,0.0328,0.0727,0.0,0.0037,0.0,0.0795,0.0,0.0,0.0258,0.022,0.0628,0.0,0.0,0.0072,0.0097,0.013,0.1066,0.0629,0.0,0.0077,0.1444,0.055,0.04,0.0281
ABCC11,0.0137,0.0998,0.1264,0.0421,0.3839,0.3055,0.2773,0.0673,0.0376,0.0463,0.0536,0.2342,0.1083,0.9748,0.0315,0.0222,0.2923,0.2078,0.1727,0.4358,0.0328,0.1791,0.0534,0.0632,0.1127,0.2306,0.1342,0.0983,0.1024,0.3422,0.219,0.1672,0.1051,0.0813,0.2484,0.103,0.0853,0.1663,0.1415,12.0479,0.5785,0.0343,0.0103,0.1828,0.0629,0.0949,0.1706,0.045,0.0472,0.0572,0.4028,0.4998,0.2182,1.2035,0.1603,1.8477,0.0427,0.112,0.1224,0.0698,0.1604,0.0373,0.2414,0.0555,0.0275,0.037,0.0802,0.2116,0.4319,0.075,0.0358,0.0702,0.2406,0.0515,0.0685,0.3083,0.0355,0.1721,0.013,0.0226,0.0664,0.085,0.1417,0.0775,0.0218,0.2246,0.3424,0.1359,0.2747,0.2141,0.0806,0.1411,0.0938,0.0935,0.1381,0.056,0.0627,0.1346,0.0463,0.0811,3.1423,0.0401,0.055,0.1373,0.0353,0.1322,0.1887,0.0402,0.0411,0.1029,0.0635,0.1275,0.0377,0.1125,0.1145,0.4772,0.0888,0.1802,0.1749,0.0745
ACAN,0.4133,0.3308,0.3242,0.7518,0.7642,6.0175,1.0281,11.9579,0.185,3.3972,0.1144,0.0692,0.2153,3.324,4.6086,0.7761,9.3749,0.5216,1.2881,0.7284,0.6031,0.5298,0.5282,0.607,0.2703,0.6465,15.6643,0.1634,2.2826,1.4243,8.8116,0.1374,0.6421,0.1578,0.1341,0.3947,0.0166,0.2052,2.1728,0.0244,1.7371,0.755,0.0478,1.6357,0.2896,0.2945,0.0809,0.4845,0.9705,0.939,2.6227,1.8598,1.185,0.3321,2.4636,0.4182,0.6228,0.3071,0.1583,0.1534,1.7153,0.9101,0.3493,0.7974,2.2063,1.6581,0.2179,1.0511,0.6578,0.1091,1.912,1.1886,0.3472,1.7396,0.0938,2.178,0.5305,0.6548,0.2926,0.8204,0.4708,0.1045,0.7446,0.0185,0.5667,1.2803,1.7715,0.3758,1.0332,0.1309,1.098,0.3004,5.1717,0.2307,2.4546,0.1027,1.3209,1.1865,1.5523,0.0031,0.0734,0.1971,1.0399,0.401,0.5097,0.9793,0.0799,0.4763,0.5695,0.4915,0.4601,0.4396,1.1359,1.3964,0.4263,0.3118,1.7225,0.317,27.1284,0.2925
ACTN2,0.0763,0.4816,0.3534,0.2845,0.07,0.0407,0.0431,4.7719,0.0,0.2182,0.3558,0.187,0.331,2.1638,0.4545,0.2174,0.2486,0.888,0.2681,1.4521,0.0459,0.3128,0.0559,1.4683,0.0859,0.2782,0.1875,0.4218,0.0602,0.3369,0.0583,0.1512,0.2019,0.0568,0.2112,0.9265,0.4024,0.1311,0.0847,0.2085,0.246,0.1919,0.3877,0.4959,0.2953,0.0816,0.0794,0.7468,0.1319,0.5941,0.2135,0.2301,0.2879,1.0464,1.141,0.0269,4.2236,0.1878,0.9236,0.13,0.1169,0.1117,0.2097,0.0776,0.1535,3.9464,0.056,0.2497,0.0679,0.3013,0.0722,0.1307,0.2064,8.3535,0.1069,0.0907,0.0566,0.2581,0.2543,0.1738,0.106,1.9897,0.2285,0.2,0.8225,0.184,0.1063,0.7123,0.2658,0.1178,0.0615,0.0958,0.5946,0.0831,0.1351,0.1138,0.2879,0.5042,2.7413,0.0454,0.0,0.2335,0.1536,0.0677,0.1382,0.1344,0.1199,0.0141,0.0738,0.2434,1.0801,0.1286,0.2299,0.2445,1.5194,0.4796,0.2895,0.3693,0.0815,0.1348
ADAMTS12,4.1067,4.2388,7.1839,9.0745,3.0247,6.4976,25.4278,2.7071,3.3301,22.1257,1.808,3.5793,3.6525,3.9832,13.3416,1.1758,45.5129,8.0608,22.8514,8.8676,5.1055,6.3456,6.4603,6.1791,2.2404,5.5076,46.557,0.5818,2.3372,16.678,4.542,3.0003,6.1494,3.005,0.9712,3.2696,1.5894,6.2574,4.3495,2.9639,13.4173,20.0946,0.2356,0.9799,1.7957,5.9277,3.4758,21.8445,4.976,11.3764,12.994,43.5466,13.6735,49.781,11.0223,12.015,4.2311,3.2133,6.1158,3.0038,12.7642,1.7487,13.548,15.7705,44.9798,5.6651,3.2185,7.1286,10.5779,1.7854,11.1327,5.7735,6.8624,5.3394,7.164,12.3598,5.3943,7.4625,5.1583,9.6361,6.0098,2.0801,14.2382,2.7187,6.2567,25.5773,10.8025,3.9557,8.0689,26.0157,3.3033,7.9637,5.2342,10.0908,8.209,11.9093,33.3055,4.3252,3.3575,0.2111,2.636,9.0485,11.1312,8.9431,10.5493,10.4811,3.4792,4.5955,1.548,14.1927,3.1278,6.6555,6.0608,2.2258,16.8145,23.8933,12.0912,3.8241,37.2759,5.3379
ADAMTS16,0.5919,0.5896,4.733,3.3464,0.5425,2.9002,1.0681,0.6926,3.4799,4.1853,1.5874,0.2255,2.5421,3.8541,1.8947,0.0161,7.3625,29.4211,11.2821,1.0653,0.585,1.1156,12.1835,2.4765,0.1184,3.6485,2.0745,0.2028,0.3424,5.3589,0.723,0.3409,2.5992,3.513,0.0312,3.0409,0.2927,3.5608,3.1101,2.1669,4.2993,1.7196,0.1039,0.1295,0.8053,3.2897,0.4106,1.3636,1.4804,3.6141,3.7853,4.9633,8.7624,17.655,6.438,1.6403,0.1727,0.5286,1.8624,0.2519,1.4907,1.1397,10.0655,5.6767,19.7016,3.8341,0.5891,2.2555,7.986,0.4604,5.1264,0.5574,3.0239,1.005,3.4796,7.804,0.2487,1.6737,4.676,8.6077,1.5473,0.3889,3.7642,3.4373,2.4247,21.5607,2.1617,5.3635,1.8928,7.6656,0.646,2.4753,2.6256,5.3386,2.6537,4.3683,5.0085,3.693,1.7516,0.0352,0.9456,6.5378,1.3898,2.018,1.9486,7.4828,0.6195,0.9302,0.4835,3.168,0.413,2.8537,1.4114,0.2708,11.1276,3.2045,8.8496,5.4318,24.4604,1.735
ADAMTS20,0.0,1.9807,0.0124,0.0079,0.2161,2.6284,0.0,0.0,0.2966,0.0846,0.0,0.0126,0.0,0.0063,0.1417,0.0,0.0072,0.0,0.0432,0.0377,0.0123,0.0,0.015,0.0,0.3344,0.0118,0.0453,0.0,0.0061,0.0175,0.3756,0.476,0.0,0.0275,0.0,0.0,0.012,3.6148,0.0114,0.0088,0.7644,0.116,0.0,0.0726,0.0152,0.0,0.0,0.0056,0.0607,0.0,0.0208,0.0511,0.0409,0.8429,0.0,1.1807,0.0096,0.0,0.0092,0.0,0.0157,0.006,0.0073,0.0156,0.0,0.0583,0.0,0.0953,0.2249,0.0,0.0313,1.7899,0.1378,4.6988,1.5779,0.0,0.0057,0.0142,0.0,0.0064,0.5655,0.008,0.0,0.0269,0.0,0.0174,0.0,0.0,0.0,0.0803,0.0248,0.1861,1.4127,0.0191,0.0155,0.0,0.0101,0.0138,0.0,0.0,0.0246,0.0,0.1934,0.0091,0.0,0.0,0.0,0.0,0.0,0.0089,0.0,0.008,0.0193,0.0,0.0,1.5171,0.0111,0.0,0.4757,0.0049
