experiment,experiment_label,negative_strategy,feature_set,model_name,status,accuracy,balanced_accuracy,precision,recall,f1_score,mcc,roc_auc,pr_auc,tn,fp,fn,tp,evaluation_strategy,positive_genes,negative_genes,total_genes,is_best_model,warning
A_random_negatives_raw_features,A) random_negatives + raw_features,random_negatives,raw_features,LogisticRegressionElasticNet,OK,0.6646868813170782,0.6291028446389497,0.4971734602796787,0.5223507346045639,0.5094512195121951,0.255157145913052,0.6855958621017176,0.5540191264177119,4708,1690,1528,1671,stratified_5_fold_cross_validation,3199,6398,9597,True,
A_random_negatives_raw_features,A) random_negatives + raw_features,random_negatives,raw_features,RandomForestClassifier,OK,0.6843805355840367,0.590887777430447,0.5468061674008811,0.310409502969678,0.396011964107677,0.21877066510598708,0.6578200821001328,0.5106268495105339,5575,823,2206,993,stratified_5_fold_cross_validation,3199,6398,9597,False,
A_random_negatives_raw_features,A) random_negatives + raw_features,random_negatives,raw_features,XGBoost,OK,0.6786495779931229,0.5876836511409815,0.5302790942601369,0.31478587058455765,0.39505688505296194,0.20750397631620687,0.6508944407740737,0.5016908250599222,5506,892,2192,1007,stratified_5_fold_cross_validation,3199,6398,9597,False,
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,LogisticRegressionElasticNet,OK,0.6657288736063353,0.6283213504220069,0.4986408939897312,0.5160987808690216,0.5072196620583718,0.25450210352031044,0.6840029477404875,0.5548226990112537,4738,1660,1548,1651,stratified_5_fold_cross_validation,3199,6398,9597,True,
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,RandomForestClassifier,OK,0.6874023132228821,0.5926070647077212,0.5561195713479977,0.3082213191622382,0.39662107803700725,0.2249751571354079,0.6581403750253698,0.5178974788220913,5611,787,2213,986,stratified_5_fold_cross_validation,3199,6398,9597,False,
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,XGBoost,OK,0.6899030947170991,0.5983901219130978,0.560302866414278,0.3238512035010941,0.410459587955626,0.23520549874981275,0.6485141935864023,0.5151882776722447,5585,813,2163,1036,stratified_5_fold_cross_validation,3199,6398,9597,False,
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,LogisticRegressionElasticNet,OK,0.6664582682088153,0.6312910284463895,0.49970291146761736,0.5257893091591123,0.5124143183549125,0.2593930599936027,0.6864798373514855,0.553684706322657,4714,1684,1517,1682,stratified_5_fold_cross_validation,3199,6398,9597,True,
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,RandomForestClassifier,OK,0.6914660831509847,0.5926070647077212,0.5718599033816425,0.2960300093779306,0.3901132852729145,0.23106575630688775,0.6675085583266339,0.5208553733089483,5689,709,2252,947,stratified_5_fold_cross_validation,3199,6398,9597,False,
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,XGBoost,OK,0.6737522142336146,0.583619881212879,0.5175619834710744,0.31322288215067207,0.3902629016553067,0.1964596528033701,0.6450186009792643,0.49476777272944455,5464,934,2197,1002,stratified_5_fold_cross_validation,3199,6398,9597,False,
D_clean_negatives_raw_plus_safety_raw,D) clean_negatives + raw_plus_safety_raw,clean_negatives,raw_plus_safety_raw,LogisticRegressionElasticNet,OK,0.6673960612691466,0.6294935917474211,0.5010628606134224,0.5157861831822445,0.5083179297597042,0.2571600745502323,0.6851124301211275,0.5552142289280309,4755,1643,1549,1650,stratified_5_fold_cross_validation,3199,6398,9597,True,
