feature_set,model,model_name,feature,importance,abs_importance,rank
base_features,LogisticRegressionElasticNet,LogisticRegressionElasticNet,normal_lung_tpm,12.436810693723322,12.436810693723322,1
base_features,LogisticRegressionElasticNet,LogisticRegressionElasticNet,mutation_frequency_score,0.7938574534983209,0.7938574534983209,2
base_features,LogisticRegressionElasticNet,LogisticRegressionElasticNet,ranking_score_v3,0.4976490104615902,0.4976490104615902,3
base_features,LogisticRegressionElasticNet,LogisticRegressionElasticNet,expression_score,-0.2958673050039458,0.2958673050039458,4
base_features,LogisticRegressionElasticNet,LogisticRegressionElasticNet,safety_score,-0.25998627925141315,0.25998627925141315,5
base_features,LogisticRegressionElasticNet,LogisticRegressionElasticNet,safety_penalty,0.25998627925133694,0.25998627925133694,6
base_features,LogisticRegressionElasticNet,LogisticRegressionElasticNet,protein_impact_score,-0.2587762874712917,0.2587762874712917,7
base_features,LogisticRegressionElasticNet,LogisticRegressionElasticNet,ranking_score_v4,0.1310312668018013,0.1310312668018013,8
base_features,RandomForestClassifier,RandomForestClassifier,normal_lung_tpm,0.22174219195615472,0.22174219195615472,1
base_features,RandomForestClassifier,RandomForestClassifier,expression_score,0.15091043192806974,0.15091043192806974,2
base_features,RandomForestClassifier,RandomForestClassifier,ranking_score_v4,0.1367573389488269,0.1367573389488269,3
base_features,RandomForestClassifier,RandomForestClassifier,ranking_score_v3,0.12822993996069879,0.12822993996069879,4
base_features,RandomForestClassifier,RandomForestClassifier,mutation_frequency_score,0.11275443200725146,0.11275443200725146,5
base_features,RandomForestClassifier,RandomForestClassifier,safety_penalty,0.09768918365139398,0.09768918365139398,6
base_features,RandomForestClassifier,RandomForestClassifier,safety_score,0.08449038394630837,0.08449038394630837,7
base_features,RandomForestClassifier,RandomForestClassifier,protein_impact_score,0.06742609760129592,0.06742609760129592,8
base_features,XGBoost,XGBoost,safety_score,0.9421560168266296,0.9421560168266296,1
base_features,XGBoost,XGBoost,mutation_frequency_score,0.01561700738966465,0.01561700738966465,2
base_features,XGBoost,XGBoost,ranking_score_v4,0.014489391818642616,0.014489391818642616,3
base_features,XGBoost,XGBoost,normal_lung_tpm,0.007237607147544622,0.007237607147544622,4
base_features,XGBoost,XGBoost,expression_score,0.007206277456134558,0.007206277456134558,5
base_features,XGBoost,XGBoost,ranking_score_v3,0.0068205008283257484,0.0068205008283257484,6
base_features,XGBoost,XGBoost,protein_impact_score,0.006473183166235685,0.006473183166235685,7
base_features,XGBoost,XGBoost,safety_penalty,0.0,0.0,8
knowledge_augmented,LogisticRegressionElasticNet,LogisticRegressionElasticNet,normal_lung_tpm,12.11925634206557,12.11925634206557,1
knowledge_augmented,LogisticRegressionElasticNet,LogisticRegressionElasticNet,mutation_frequency_score,0.8689230187663964,0.8689230187663964,2
knowledge_augmented,LogisticRegressionElasticNet,LogisticRegressionElasticNet,safety_score,-0.22523335677077053,0.22523335677077053,3
knowledge_augmented,LogisticRegressionElasticNet,LogisticRegressionElasticNet,safety_penalty,0.2252333567707131,0.2252333567707131,4
knowledge_augmented,LogisticRegressionElasticNet,LogisticRegressionElasticNet,ranking_score_v3,0.18063232117364553,0.18063232117364553,5
knowledge_augmented,LogisticRegressionElasticNet,LogisticRegressionElasticNet,targetability_score,0.16958170780975834,0.16958170780975834,6
knowledge_augmented,LogisticRegressionElasticNet,LogisticRegressionElasticNet,luad_relevance_score,0.16068026491066706,0.16068026491066706,7
knowledge_augmented,LogisticRegressionElasticNet,LogisticRegressionElasticNet,dormancy_evidence_score,0.12984867014412785,0.12984867014412785,8
knowledge_augmented,LogisticRegressionElasticNet,LogisticRegressionElasticNet,protein_impact_score,0.045416392793112666,0.045416392793112666,9
knowledge_augmented,LogisticRegressionElasticNet,LogisticRegressionElasticNet,passenger_penalty,0.043402706052244035,0.043402706052244035,10
knowledge_augmented,LogisticRegressionElasticNet,LogisticRegressionElasticNet,expression_score,0.0,0.0,11
knowledge_augmented,LogisticRegressionElasticNet,LogisticRegressionElasticNet,ranking_score_v4,0.0,0.0,12
knowledge_augmented,RandomForestClassifier,RandomForestClassifier,normal_lung_tpm,0.22826682746237076,0.22826682746237076,1
knowledge_augmented,RandomForestClassifier,RandomForestClassifier,expression_score,0.1371433275125734,0.1371433275125734,2
knowledge_augmented,RandomForestClassifier,RandomForestClassifier,ranking_score_v4,0.136894765608429,0.136894765608429,3
knowledge_augmented,RandomForestClassifier,RandomForestClassifier,ranking_score_v3,0.12781133689168006,0.12781133689168006,4
knowledge_augmented,RandomForestClassifier,RandomForestClassifier,mutation_frequency_score,0.11387624822596862,0.11387624822596862,5
knowledge_augmented,RandomForestClassifier,RandomForestClassifier,safety_penalty,0.09822870127224383,0.09822870127224383,6
knowledge_augmented,RandomForestClassifier,RandomForestClassifier,safety_score,0.08988305589926325,0.08988305589926325,7
knowledge_augmented,RandomForestClassifier,RandomForestClassifier,protein_impact_score,0.06647628425797214,0.06647628425797214,8
knowledge_augmented,RandomForestClassifier,RandomForestClassifier,passenger_penalty,0.0011255808541076955,0.0011255808541076955,9
knowledge_augmented,RandomForestClassifier,RandomForestClassifier,targetability_score,0.00020254666756271234,0.00020254666756271234,10
knowledge_augmented,RandomForestClassifier,RandomForestClassifier,luad_relevance_score,8.268009133147664e-05,8.268009133147664e-05,11
knowledge_augmented,RandomForestClassifier,RandomForestClassifier,dormancy_evidence_score,8.645256496936705e-06,8.645256496936705e-06,12
knowledge_augmented,XGBoost,XGBoost,safety_score,0.9357074499130249,0.9357074499130249,1
knowledge_augmented,XGBoost,XGBoost,mutation_frequency_score,0.01608874462544918,0.01608874462544918,2
knowledge_augmented,XGBoost,XGBoost,ranking_score_v4,0.014772336930036545,0.014772336930036545,3
knowledge_augmented,XGBoost,XGBoost,ranking_score_v3,0.007444312330335379,0.007444312330335379,4
knowledge_augmented,XGBoost,XGBoost,expression_score,0.007288395427167416,0.007288395427167416,5
knowledge_augmented,XGBoost,XGBoost,normal_lung_tpm,0.0072410195134580135,0.0072410195134580135,6
knowledge_augmented,XGBoost,XGBoost,protein_impact_score,0.006952822208404541,0.006952822208404541,7
knowledge_augmented,XGBoost,XGBoost,targetability_score,0.004504951182752848,0.004504951182752848,8
knowledge_augmented,XGBoost,XGBoost,safety_penalty,0.0,0.0,9
knowledge_augmented,XGBoost,XGBoost,luad_relevance_score,0.0,0.0,10
knowledge_augmented,XGBoost,XGBoost,dormancy_evidence_score,0.0,0.0,11
knowledge_augmented,XGBoost,XGBoost,passenger_penalty,0.0,0.0,12
