rank,gene_name,ranking_score_v4,priority_v4,evidence_tier_v6,target_category_v6,safety_score,safety_risk,normal_lung_tpm,evidence_tier_explanation_v6,explanation_v4
1,TP53,0.7467469989859153,High,Tier_1_Strong_Integrated_Target,Driver / LUAD Relevant,0.45,High_Normal_Expression,12.7462,"Strong integrated evidence from LUAD relevance, mutation/expression/protein-impact, and acceptable safety",Known LUAD/NSCLC relevant gene; Frequently mutated across patients; High tumor RNA expression; High protein-impact mutation ratio; High normal lung expression; safety caution applied
2,KRAS,0.7165309747578339,High,Tier_1_Strong_Integrated_Target,Clinically Actionable / Safety Caution,0.45,High_Normal_Expression,16.5553,"Strong integrated evidence from LUAD relevance, mutation/expression/protein-impact, and acceptable safety",Known LUAD/NSCLC relevant gene; Clinically targetable/actionable gene; Frequently mutated across patients; High tumor RNA expression; High protein-impact mutation ratio; High normal lung expression; safety caution applied
3,EGFR,0.648261370270435,Medium,Tier_2_Actionable_With_Safety_Caution,Clinically Actionable / Safety Caution,0.45,High_Normal_Expression,20.373,"Clinically actionable LUAD target, but normal lung expression requires safety review",Known LUAD/NSCLC relevant gene; Clinically targetable/actionable gene; High tumor RNA expression; High protein-impact mutation ratio; High normal lung expression; safety caution applied
4,RET,0.6344917667131517,Medium,Tier_2_Actionable_Safety_Supported,Clinically Actionable / Safety Supported,1.0,Low_Normal_Expression,0.49394,Clinically actionable LUAD target with low or moderate normal lung expression,Known LUAD/NSCLC relevant gene; Clinically targetable/actionable gene; Low normal lung expression supports safety priority
5,KEAP1,0.596899031339233,Medium,Tier_3_LUAD_Driver_Moderate_Evidence,Driver / LUAD Relevant,0.45,High_Normal_Expression,40.6013,LUAD-relevant driver with moderate evidence but not high enough for Tier 1,Known LUAD/NSCLC relevant gene; High tumor RNA expression; High protein-impact mutation ratio; High normal lung expression; safety caution applied
6,ALK,0.5921365493153262,Medium,Tier_2_Actionable_Safety_Supported,Clinically Actionable / Safety Supported,1.0,Low_Normal_Expression,0.083896,Clinically actionable LUAD target with low or moderate normal lung expression,Known LUAD/NSCLC relevant gene; Clinically targetable/actionable gene; Low normal lung expression supports safety priority
7,BRAF,0.5900874854171028,Medium,Tier_2_Actionable_With_Safety_Caution,Clinically Actionable / Safety Caution,0.45,High_Normal_Expression,10.2671,"Clinically actionable LUAD target, but normal lung expression requires safety review",Known LUAD/NSCLC relevant gene; Clinically targetable/actionable gene; High protein-impact mutation ratio; High normal lung expression; safety caution applied
8,ROS1,0.585490596502775,Medium,Tier_2_Actionable_With_Safety_Caution,Clinically Actionable / Safety Caution,0.45,High_Normal_Expression,13.392,"Clinically actionable LUAD target, but normal lung expression requires safety review",Known LUAD/NSCLC relevant gene; Clinically targetable/actionable gene; High tumor RNA expression; High protein-impact mutation ratio; High normal lung expression; safety caution applied
9,MET,0.5810250611106098,Medium,Tier_2_Actionable_With_Safety_Caution,Clinically Actionable / Safety Caution,0.45,High_Normal_Expression,10.1099,"Clinically actionable LUAD target, but normal lung expression requires safety review",Known LUAD/NSCLC relevant gene; Clinically targetable/actionable gene; High tumor RNA expression; High protein-impact mutation ratio; High normal lung expression; safety caution applied
10,ATM,0.5777184817680159,Medium,Tier_3_LUAD_Driver_Moderate_Evidence,Driver / LUAD Relevant,0.75,Moderate_Normal_Expression,9.24853,LUAD-relevant driver with moderate evidence but not high enough for Tier 1,Known LUAD/NSCLC relevant gene; High tumor RNA expression; High protein-impact mutation ratio; Moderate normal lung expression; safety acceptable but should be reviewed
11,CDKN2A,0.5554051138216871,Medium,Tier_3_LUAD_Driver_Moderate_Evidence,Driver / LUAD Relevant,0.75,Moderate_Normal_Expression,1.21422,LUAD-relevant driver with moderate evidence but not high enough for Tier 1,Known LUAD/NSCLC relevant gene; High tumor RNA expression; High protein-impact mutation ratio; Moderate normal lung expression; safety acceptable but should be reviewed
12,ERBB2,0.5549246058276986,Medium,Tier_2_Actionable_With_Safety_Caution,Clinically Actionable / Safety Caution,0.45,High_Normal_Expression,48.7264,"Clinically actionable LUAD target, but normal lung expression requires safety review",Known LUAD/NSCLC relevant gene; Clinically targetable/actionable gene; High tumor RNA expression; High normal lung expression; safety caution applied
13,STK11,0.5455955407826508,Medium,Tier_3_LUAD_Driver_Moderate_Evidence,Driver / LUAD Relevant,0.45,High_Normal_Expression,30.8137,LUAD-relevant driver with moderate evidence but not high enough for Tier 1,Known LUAD/NSCLC relevant gene; High tumor RNA expression; High protein-impact mutation ratio; High normal lung expression; safety caution applied
14,COL11A1,0.5381872173533779,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.119542,Insufficient integrated evidence,High tumor RNA expression; High protein-impact mutation ratio; Low normal lung expression supports safety priority
15,SMARCA4,0.5369222670734995,Medium,Tier_3_LUAD_Driver_Moderate_Evidence,Driver / LUAD Relevant,0.45,High_Normal_Expression,26.6601,LUAD-relevant driver with moderate evidence but not high enough for Tier 1,Known LUAD/NSCLC relevant gene; High tumor RNA expression; High protein-impact mutation ratio; High normal lung expression; safety caution applied
16,SETD2,0.529646170741021,Medium,Tier_3_LUAD_Driver_Moderate_Evidence,Driver / LUAD Relevant,0.45,High_Normal_Expression,26.3077,LUAD-relevant driver with moderate evidence but not high enough for Tier 1,Known LUAD/NSCLC relevant gene; High tumor RNA expression; High protein-impact mutation ratio; High normal lung expression; safety caution applied
17,MAP2K1,0.5205360660040906,Medium,Tier_3_LUAD_Driver_Moderate_Evidence,Driver / LUAD Relevant,0.45,High_Normal_Expression,37.0368,LUAD-relevant driver with moderate evidence but not high enough for Tier 1,Known LUAD/NSCLC relevant gene; High tumor RNA expression; High protein-impact mutation ratio; High normal lung expression; safety caution applied
18,ARID1A,0.5154407243062068,Medium,Tier_3_LUAD_Driver_Moderate_Evidence,Driver / LUAD Relevant,0.45,High_Normal_Expression,32.3673,LUAD-relevant driver with moderate evidence but not high enough for Tier 1,Known LUAD/NSCLC relevant gene; High tumor RNA expression; High protein-impact mutation ratio; High normal lung expression; safety caution applied
19,SOX2,0.4947807508277804,Medium,Tier_3_Dormancy_Exploratory_Target,Dormancy / Residual Exploratory,1.0,Low_Normal_Expression,0.650533,Exploratory dormancy/residual disease relevance; research-use only,High tumor RNA expression; High protein-impact mutation ratio; Exploratory dormancy/residual disease association; Low normal lung expression supports safety priority
20,PIK3CA,0.4915433663261147,Medium,Tier_5_Low_Evidence_Target,Driver / LUAD Relevant,0.45,High_Normal_Expression,15.2689,Insufficient integrated evidence,Known LUAD/NSCLC relevant gene; High protein-impact mutation ratio; High normal lung expression; safety caution applied
21,RBM10,0.4885041220309003,Medium,Tier_5_Low_Evidence_Target,Driver / LUAD Relevant,0.2,Very_High_Normal_Expression,56.2377,Insufficient integrated evidence,Known LUAD/NSCLC relevant gene; High tumor RNA expression; High protein-impact mutation ratio; Very high normal lung expression; strong safety penalty applied
22,CTNNB1,0.4840768995474728,Medium,Tier_5_Low_Evidence_Target,Driver / LUAD Relevant,0.2,Very_High_Normal_Expression,121.627,Insufficient integrated evidence,Known LUAD/NSCLC relevant gene; High tumor RNA expression; High protein-impact mutation ratio; Very high normal lung expression; strong safety penalty applied
23,NFE2L2,0.4784105970438125,Medium,Tier_5_Low_Evidence_Target,Driver / LUAD Relevant,0.2,Very_High_Normal_Expression,58.3156,Insufficient integrated evidence,Known LUAD/NSCLC relevant gene; High tumor RNA expression; High protein-impact mutation ratio; Very high normal lung expression; strong safety penalty applied
24,NRAS,0.4769715516047007,Medium,Tier_5_Low_Evidence_Target,Driver / LUAD Relevant,0.45,High_Normal_Expression,24.9775,Insufficient integrated evidence,Known LUAD/NSCLC relevant gene; High tumor RNA expression; High normal lung expression; safety caution applied
25,PCLO,0.4747194170356519,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.468749,Insufficient integrated evidence,"Ranked from integrated mutation, expression, and protein-impact evidence; Low normal lung expression supports safety priority"
26,RYR1,0.4742344200649366,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.95106,Insufficient integrated evidence,High protein-impact mutation ratio; Low normal lung expression supports safety priority
27,ASPM,0.4742239033706327,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.526233,Insufficient integrated evidence,High tumor RNA expression; High protein-impact mutation ratio; Low normal lung expression supports safety priority
28,TFF2,0.4709136762469504,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.0,Insufficient integrated evidence,High tumor RNA expression; High protein-impact mutation ratio; Low normal lung expression supports safety priority
29,TFF1,0.4698950927935535,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.094076,Insufficient integrated evidence,High tumor RNA expression; High protein-impact mutation ratio; Low normal lung expression supports safety priority
30,VSIG1,0.4679665767428537,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.400164,Insufficient integrated evidence,High tumor RNA expression; High protein-impact mutation ratio; Low normal lung expression supports safety priority
31,MUC13,0.4673445416503451,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.352208,Insufficient integrated evidence,High tumor RNA expression; High protein-impact mutation ratio; Low normal lung expression supports safety priority
32,B3GNT3,0.4663388425667213,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.461362,Insufficient integrated evidence,High tumor RNA expression; High protein-impact mutation ratio; Low normal lung expression supports safety priority
33,CXCL13,0.4648704406993876,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.635543,Insufficient integrated evidence,High tumor RNA expression; High protein-impact mutation ratio; Low normal lung expression supports safety priority
34,CA9,0.4643318652480785,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.287324,Insufficient integrated evidence,High tumor RNA expression; High protein-impact mutation ratio; Low normal lung expression supports safety priority
35,SST,0.4638675295647182,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.138163,Insufficient integrated evidence,High tumor RNA expression; High protein-impact mutation ratio; Low normal lung expression supports safety priority
36,ERICH3,0.4638406468182291,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.963443,Insufficient integrated evidence,High protein-impact mutation ratio; Low normal lung expression supports safety priority
37,SPRR1B,0.4620523842416331,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.462794,Insufficient integrated evidence,High tumor RNA expression; High protein-impact mutation ratio; Low normal lung expression supports safety priority
38,FBN2,0.4615671327676424,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.252353,Insufficient integrated evidence,High protein-impact mutation ratio; Low normal lung expression supports safety priority
39,ASCL1,0.4605121523792638,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.0961265,Insufficient integrated evidence,High tumor RNA expression; High protein-impact mutation ratio; Low normal lung expression supports safety priority
40,KRT81,0.4598154993427652,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.22118,Insufficient integrated evidence,High tumor RNA expression; High protein-impact mutation ratio; Low normal lung expression supports safety priority
41,DNAH9,0.4593652900669668,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.67693,Insufficient integrated evidence,"Ranked from integrated mutation, expression, and protein-impact evidence; Low normal lung expression supports safety priority"
42,ABCA13,0.4588900811867221,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.573256,Insufficient integrated evidence,High protein-impact mutation ratio; Low normal lung expression supports safety priority
43,ARSL,0.4581585312791749,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.341703,Insufficient integrated evidence,High tumor RNA expression; High protein-impact mutation ratio; Low normal lung expression supports safety priority
44,HS6ST2,0.4566984932587044,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.342127,Insufficient integrated evidence,High tumor RNA expression; High protein-impact mutation ratio; Low normal lung expression supports safety priority
45,PYCARD,0.4553798051296971,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.0,Insufficient integrated evidence,High tumor RNA expression; High protein-impact mutation ratio; Low normal lung expression supports safety priority
46,UCN3,0.455255282606265,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.21873,Insufficient integrated evidence,High tumor RNA expression; High protein-impact mutation ratio; Low normal lung expression supports safety priority
47,FGB,0.4548598775682918,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.244368,Insufficient integrated evidence,High tumor RNA expression; High protein-impact mutation ratio; Low normal lung expression supports safety priority
48,FERMT1,0.4548182488877961,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.648829,Insufficient integrated evidence,High tumor RNA expression; High protein-impact mutation ratio; Low normal lung expression supports safety priority
49,HABP2,0.4542494838483358,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.111835,Insufficient integrated evidence,High tumor RNA expression; High protein-impact mutation ratio; Low normal lung expression supports safety priority
50,MUC5AC,0.4542129737365827,Medium,Tier_5_Low_Evidence_Target,General Candidate,1.0,Low_Normal_Expression,0.136396,Insufficient integrated evidence,High tumor RNA expression; Low normal lung expression supports safety priority
